time [s],current,current2,servo1.currentSetpoint,servo1.pid_current.output,setpwm,
12.68,41013,0,131072,0,0,
12.7,37784,0,131072,0,0,
12.72,40447,0,131072,0,0,
12.74,38494,0,131072,0,0,
12.76,42628,0,131072,0,0,
12.78,38919,0,131072,0,0,
12.8,43265,0,131072,0,0,
12.82,39932,0,131072,0,0,
12.84,43079,0,131072,0,0,
12.86,39853,0,131072,0,0,
12.88,43347,0,131072,0,0,
12.9,39824,0,131072,0,0,
12.92,40540,0,131072,0,0,
12.94,40005,0,131072,0,0,
12.96,38182,0,131072,0,0,
12.98,40956,0,131072,0,0,
13,38125,0,131072,0,0,
13.02,36132,0,131072,0,0,
13.04,37884,0,131072,0,0,
13.06,38305,0,131072,0,0,
13.08,36888,0,131072,0,0,
13.1,38153,0,131072,0,0,
13.12,37603,0,131072,0,0,
13.14,37843,0,131072,0,0,
13.16,38461,0,131072,0,0,
13.18,37408,0,131072,0,0,
13.2,35823,0,131072,0,0,
13.22,37086,0,131072,0,0,
13.24,37018,0,131072,0,0,
13.26,35657,0,131072,0,0,
13.28,44913,0,131072,0,0,
13.3,48624,0,131072,0,0,
13.32,57107,0,131072,0,0,
13.34,64948,0,131072,0,0,
13.36,76961,0,131072,0,0,
13.38,91404,0,131072,0,0,
13.4,104478,0,131072,0,0,
13.42,123874,0,131072,0,0,
13.44,131544,0,131072,0,0,
13.46,131703,0,131072,0,0,
13.48,132078,0,131072,0,0,
13.5,132728,0,131072,0,0,
13.52,131096,0,131072,0,0,
13.54,132119,0,131072,0,0,
13.56,133173,0,131072,0,0,
13.58,133446,0,131072,0,0,
13.6,132443,0,131072,0,0,
13.62,132999,0,131072,0,0,
13.64,131050,0,131072,0,0,
13.66,131076,0,131072,0,0,
13.68,131081,0,131072,0,0,
13.7,131075,0,131072,0,0,
13.72,131056,0,131072,0,0,
13.74,131069,0,131072,0,0,
13.76,131068,0,131072,0,0,
13.78,131063,0,131072,0,0,
13.8,131081,0,131072,0,0,
13.82,131072,0,131072,0,0,
13.84,131067,0,131072,0,0,
13.86,131063,0,131072,0,0,
13.88,131073,0,131072,0,0,
13.9,131054,0,131072,0,0,
13.92,131070,0,131072,0,0,
13.94,131064,0,131072,0,0,
13.96,131070,0,131072,0,0,
13.98,131051,0,131072,0,0,
14,131075,0,131072,0,0,
14.02,131061,0,131072,0,0,
14.04,131065,0,131072,0,0,
14.06,131057,0,131072,0,0,
14.08,131068,0,131072,0,0,
14.1,131066,0,131072,0,0,
14.12,131063,0,131072,0,0,
14.14,131050,0,131072,0,0,
14.16,131063,0,131072,0,0,
14.18,131068,0,131072,0,0,
14.2,131060,0,131072,0,0,
14.22,131057,0,131072,0,0,
14.24,131068,0,131072,0,0,
14.26,131051,0,131072,0,0,
14.28,131076,0,131072,0,0,
14.3,131066,0,131072,0,0,
14.32,131072,0,131072,0,0,
14.34,131063,0,131072,0,0,
14.36,131072,0,131072,0,0,
14.38,131056,0,131072,0,0,
14.4,131037,0,131072,0,0,
14.42,130956,0,131072,0,0,
14.44,130859,0,131072,0,0,
14.46,131043,0,131072,0,0,
14.48,130438,0,131072,0,0,
14.5,130868,0,131072,0,0,
14.52,130134,0,131072,0,0,
14.54,129714,0,131072,0,0,
14.56,129962,0,131072,0,0,
14.58,130727,0,131072,0,0,
14.6,130283,0,131072,0,0,
14.62,130291,0,131072,0,0,
14.64,129929,0,131072,0,0,
14.66,130435,0,131072,0,0,
14.68,130064,0,131072,0,0,
14.7,130180,0,131072,0,0,
14.72,130286,0,131072,0,0,
14.74,130186,0,131072,0,0,
14.76,129410,0,131072,0,0,
14.78,108889,0,131072,0,0,
14.8,85702,0,131072,0,0,
14.82,71007,0,131072,0,0,
14.84,56086,0,131072,0,0,
14.86,51350,0,131072,0,0,
14.88,44758,0,131072,0,0,
14.9,47294,0,131072,0,0,
14.92,42722,0,131072,0,0,
14.94,44245,0,131072,0,0,
14.96,41625,0,131072,0,0,
14.98,41698,0,131072,0,0,
15,40773,0,131072,0,0,
15.02,41335,0,131072,0,0,
15.04,41116,0,131072,0,0,
15.06,39359,0,131072,0,0,
15.08,40496,0,131072,0,0,
15.1,40197,0,131072,0,0,
15.12,42165,0,131072,0,0,
15.14,39116,0,131072,0,0,
15.16,43580,0,131072,0,0,
15.18,43918,0,131072,0,0,
15.2,43964,0,131072,0,0,
15.22,40347,0,131072,0,0,
15.24,43479,0,131072,0,0,
15.26,39870,0,131072,0,0,
15.28,38540,0,131072,0,0,
15.3,39489,0,131072,0,0,
15.32,38217,0,131072,0,0,
15.34,36552,0,131072,0,0,
15.36,36707,0,131072,0,0,
15.38,37313,0,131072,0,0,
15.4,36232,0,131072,0,0,
15.42,35095,0,131072,0,0,
15.44,37854,0,131072,0,0,
15.46,37157,0,131072,0,0,
15.48,39446,0,131072,0,0,
15.5,40358,0,131072,0,0,
15.52,37471,0,131072,0,0,
15.54,40080,0,131072,0,0,
15.56,37831,0,131072,0,0,
15.58,42032,0,131072,0,0,
15.6,39138,0,131072,0,0,
15.62,42758,0,131072,0,0,
15.64,39017,0,131072,0,0,
15.66,42200,0,131072,0,0,
15.68,39355,0,131072,0,0,
15.7,42573,0,131072,0,0,
15.72,40208,0,131072,0,0,
15.74,38139,0,131072,0,0,
15.76,40031,0,131072,0,0,
15.78,39906,0,131072,0,0,
15.8,42072,0,131072,0,0,
15.82,42962,0,131072,0,0,
15.84,41909,0,131072,0,0,
15.86,42309,0,131072,0,0,
15.88,41933,0,131072,0,0,
15.9,39401,0,131072,0,0,
15.92,37911,0,131072,0,0,
15.94,38333,0,131072,0,0,
15.96,37050,0,131072,0,0,
15.98,36176,0,131072,0,0,
16,36785,0,131072,0,0,
16.02,37971,0,131072,0,0,
16.04,36539,0,131072,0,0,
16.06,35496,0,131072,0,0,
16.08,34843,0,131072,0,0,
16.1,36437,0,131072,0,0,
16.12,38288,0,131072,0,0,
16.14,38159,0,131072,0,0,
