time [s],adc[0],current,servo1.currentSetpoint,setpwm,
11.8317,0,0,0,0,
11.8352,0,0,0,0,
11.8395,0,0,0,0,
11.8434,0,0,0,0,
11.847,0,0,0,0,
11.8504,0,0,0,0,
11.8542,0,0,0,0,
11.8583,0,0,0,0,
11.8619,0,0,0,0,
11.8655,0,0,0,0,
11.8694,0,0,0,0,
11.873,0,0,0,0,
11.8768,0,0,0,0,
11.8803,0,0,0,0,
11.8841,0,0,0,0,
11.8881,0,0,0,0,
11.8921,0,0,0,0,
11.8957,0,0,0,0,
11.8997,0,0,0,0,
11.9034,0,0,0,0,
11.9072,0,0,0,0,
11.9109,0,0,0,0,
11.9146,0,0,0,0,
11.9181,0,0,0,0,
11.922,0,0,0,0,
11.9258,0,0,0,0,
11.9296,0,0,0,0,
11.9331,0,0,0,0,
11.9365,0,0,0,0,
11.94,0,0,0,0,
11.9435,0,0,0,0,
11.9469,0,0,0,0,
11.9503,0,0,0,0,
11.9539,0,0,0,0,
11.9579,0,0,0,0,
11.9614,0,0,0,0,
11.9647,0,0,0,0,
11.968,0,0,0,0,
11.9715,0,0,0,0,
11.9751,0,0,0,0,
11.9787,0,0,0,0,
11.9822,0,0,0,0,
11.9857,0,0,0,0,
11.99,0,0,0,0,
11.9939,0,0,0,0,
11.9974,0,0,0,0,
12.0009,0,0,0,0,
12.0045,0,0,0,0,
12.0083,0,0,0,0,
12.0119,0,0,0,0,
12.0154,0,0,0,0,
12.0189,0,0,0,0,
12.0229,0,0,0,0,
12.0266,0,0,0,0,
12.0301,0,0,0,0,
12.0336,0,0,0,0,
12.0374,0,0,0,0,
12.0412,0,0,0,0,
12.0449,0,0,0,0,
12.0485,0,0,0,0,
12.0523,0,0,0,0,
12.0562,0,0,0,0,
12.0601,0,0,0,0,
12.0636,0,0,0,0,
12.0672,0,0,0,0,
12.0709,0,0,0,0,
12.0744,0,0,0,0,
12.0779,0,0,0,0,
12.0818,0,0,0,0,
12.0853,0,0,0,0,
12.0894,0,0,0,0,
12.093,0,0,0,0,
12.0965,0,0,0,0,
12.1002,0,0,0,0,
12.1041,0,0,0,0,
12.1079,0,0,0,0,
12.1115,0,0,0,0,
12.1153,0,0,0,0,
12.1189,0,0,0,0,
12.1233,0,0,0,0,
12.1269,0,0,0,0,
12.1311,0,0,0,0,
12.1348,0,0,0,0,
12.1385,0,0,0,0,
12.1424,0,0,0,0,
12.1464,0,0,0,0,
12.1499,0,0,0,0,
12.1534,0,0,0,0,
12.1577,0,0,0,0,
12.1619,0,0,0,0,
12.1655,0,0,0,0,
12.169,0,0,0,0,
12.1725,0,0,0,0,
12.1762,0,0,0,0,
12.1796,0,0,0,0,
12.1833,0,0,0,0,
12.1872,0,0,0,0,
12.1915,0,0,0,0,
12.1952,0,0,0,0,
12.1988,0,0,0,0,
12.2022,0,0,0,0,
12.206,0,0,0,0,
12.2096,0,0,0,0,
12.2132,0,0,0,0,
12.2167,0,0,0,0,
12.2204,0,0,0,0,
12.2245,0,0,0,0,
12.2279,0,0,0,0,
12.2316,0,0,0,0,
12.2353,0,0,0,0,
12.2391,0,0,0,0,
12.2426,0,0,0,0,
12.2461,0,0,0,0,
12.2496,0,0,0,0,
12.2533,0,0,0,0,
12.2573,0,0,0,0,
12.2608,0,0,0,0,
12.2643,0,0,0,0,
12.268,0,0,0,0,
12.2716,0,0,0,0,
12.2752,0,0,0,0,
12.2788,0,0,0,0,
12.2825,0,0,0,0,
12.2863,0,0,0,0,
12.2902,0,0,0,0,
12.2937,0,0,0,0,
12.2973,0,0,0,0,
12.3009,0,0,0,0,
12.3046,0,0,0,0,
12.3081,0,0,0,0,
12.3117,0,0,0,0,
12.3154,0,0,0,0,
12.3189,0,0,0,0,
12.3231,0,0,0,0,
12.3266,0,0,0,0,
12.3302,0,0,0,0,
12.3336,0,0,0,0,
12.3372,0,0,0,0,
12.3407,0,0,0,0,
12.3448,0,0,0,0,
12.3484,0,0,0,0,
12.3518,0,0,0,0,
12.3561,0,0,0,0,
12.3601,0,0,0,0,
12.3636,0,0,0,0,
12.3671,0,0,0,0,
12.3709,0,0,0,0,
12.3748,0,0,0,0,
12.3785,0,0,0,0,
12.3821,0,0,0,0,
12.3856,0,0,0,0,
12.39,0,0,0,0,
12.3938,0,0,0,0,
12.3974,0,0,0,0,
12.4011,0,0,0,0,
12.4048,0,0,0,0,
12.4085,0,0,0,0,
12.4121,0,0,0,0,
12.4156,0,0,0,0,
12.4195,0,0,0,0,
12.4235,0,0,0,0,
12.4273,0,0,0,0,
12.4308,0,0,0,0,
12.4343,0,0,0,0,
12.4386,0,0,0,0,
12.4422,0,0,0,0,
12.4458,0,0,0,0,
12.4492,0,0,0,0,
12.4533,0,0,0,0,
12.4575,0,0,0,0,
12.4612,0,0,0,0,
12.4648,0,0,0,0,
12.4684,0,0,0,0,
12.4721,0,0,0,0,
12.4756,0,0,0,0,
12.4791,0,0,0,0,
12.4829,0,0,0,0,
12.4867,0,0,0,0,
12.4906,0,0,0,0,
12.4941,0,0,0,0,
12.498,0,0,0,0,
12.5016,0,0,0,0,
12.5052,0,0,0,0,
12.5089,0,0,0,0,
12.5126,0,0,0,0,
12.5161,0,0,0,0,
12.5198,0,0,0,0,
12.5239,0,0,0,0,
12.5275,0,0,0,0,
12.531,0,0,0,0,
12.5345,0,0,0,0,
12.5385,0,0,0,0,
12.5423,0,0,0,0,
12.5459,0,0,0,0,
12.5495,0,0,0,0,
12.5535,0,0,0,0,
12.5576,0,0,0,0,
12.5612,0,0,0,0,
12.5646,0,0,0,0,
12.5681,0,0,0,0,
12.572,0,0,0,0,
12.5756,0,0,0,0,
12.5791,0,0,0,0,
12.5826,0,0,0,0,
12.5861,0,0,0,0,
12.5903,0,0,0,0,
12.5938,0,0,0,0,
12.5973,0,0,0,0,
12.6009,0,0,0,0,
12.6048,0,0,0,0,
12.6087,0,0,0,0,
12.6123,0,0,0,0,
12.6158,0,0,0,0,
12.6201,0,0,0,0,
12.6241,0,0,0,0,
12.6276,0,0,0,0,
12.6312,0,0,0,0,
12.6351,0,0,0,0,
12.6386,0,0,0,0,
12.6422,0,0,0,0,
12.6456,0,0,0,0,
12.6493,0,0,0,0,
12.653,0,0,0,0,
12.6569,0,0,0,0,
12.6604,0,0,0,0,
12.6644,0,0,0,0,
12.6681,0,0,0,0,
12.6718,0,0,0,0,
12.6753,0,0,0,0,
12.6791,0,0,0,0,
12.6825,0,0,0,0,
12.6861,0,0,0,0,
12.69,0,0,0,0,
12.6937,0,0,0,0,
12.6973,0,0,0,0,
12.7009,0,0,0,0,
12.7044,0,0,0,0,
12.708,0,0,0,0,
12.7121,0,0,0,0,
12.7156,0,0,0,0,
12.7195,0,0,0,0,
12.7233,0,0,0,0,
12.7272,0,0,0,0,
12.7308,0,0,0,0,
12.7343,0,0,0,0,
12.7378,0,0,0,0,
12.7422,0,0,0,0,
12.7458,0,0,0,0,
12.7494,0,0,0,0,
12.7537,0,0,0,0,
12.7578,0,0,0,0,
12.7614,0,0,0,0,
12.765,0,0,0,0,
12.7687,0,0,0,0,
12.7723,0,0,0,0,
12.7759,0,0,0,0,
12.7794,0,0,0,0,
12.7831,0,0,0,0,
12.7869,0,0,0,0,
12.7909,0,0,0,0,
12.7946,0,0,0,0,
12.7983,0,0,0,0,
12.8023,0,0,0,0,
12.8062,0,0,0,0,
12.8098,0,0,0,0,
12.8134,0,0,0,0,
12.8173,0,0,0,0,
12.8214,0,0,0,0,
12.8251,0,0,0,0,
12.8288,0,0,0,0,
12.8327,0,0,0,0,
12.8366,0,0,0,0,
12.8406,0,0,0,0,
12.8443,0,0,0,0,
12.8481,0,0,0,0,
12.852,0,0,0,0,
12.8563,0,0,0,0,
12.86,0,0,0,0,
12.8637,0,0,0,0,
12.8674,0,0,0,0,
12.8711,0,0,0,0,
12.8748,0,0,0,0,
12.8789,0,0,0,0,
12.8824,0,0,0,0,
12.8862,0,0,0,0,
12.8898,0,0,0,0,
12.8935,0,0,0,0,
12.8973,0,0,0,0,
12.901,0,0,0,0,
12.9046,0,0,0,0,
12.9084,0,0,0,0,
12.9121,0,0,0,0,
12.9157,0,0,0,0,
12.9196,0,0,0,0,
12.9237,0,0,0,0,
12.9271,0,0,0,0,
12.9307,0,0,0,0,
12.9347,0,0,0,0,
12.9384,0,0,0,0,
12.9421,0,0,0,0,
12.9458,0,0,0,0,
12.9495,0,0,0,0,
12.9535,0,0,0,0,
12.9577,0,0,0,0,
12.9614,0,0,0,0,
12.9649,0,0,0,0,
12.9688,0,0,0,0,
12.9725,0,0,0,0,
12.9763,0,0,0,0,
12.98,0,0,0,0,
12.9837,0,0,0,0,
12.9882,0,0,0,0,
12.9919,0,0,0,0,
12.9956,0,0,0,0,
12.9995,0,0,0,0,
13.0033,0,0,0,0,
13.0071,0,0,0,0,
13.0107,0,0,0,0,
13.0146,0,0,0,0,
13.0183,0,0,0,0,
13.0223,0,0,0,0,
13.0258,0,0,0,0,
13.0296,0,0,0,0,
13.0334,0,0,0,0,
13.0371,0,0,0,0,
13.0407,0,0,0,0,
13.0444,0,0,0,0,
13.0479,0,0,0,0,
13.0518,0,0,0,0,
13.0558,0,0,0,0,
13.0594,0,0,0,0,
13.0633,0,0,0,0,
13.0667,0,0,0,0,
13.0705,0,0,0,0,
13.0744,0,0,0,0,
13.0785,0,0,0,0,
13.0822,0,0,0,0,
13.0864,0,0,0,0,
13.0902,0,0,0,0,
13.0939,0,0,0,0,
13.0975,0,0,0,0,
13.1012,0,0,0,0,
13.1051,0,0,0,0,
13.1087,0,0,0,0,
13.1122,0,0,0,0,
13.1157,0,0,0,0,
13.1196,0,0,0,0,
13.1236,0,0,0,0,
13.1271,0,0,0,0,
13.1306,0,0,0,0,
13.1342,0,0,0,0,
13.1378,0,0,0,0,
13.1414,0,0,0,0,
13.1449,0,0,0,0,
13.1484,0,0,0,0,
13.1523,0,0,0,0,
13.1564,0,0,0,0,
13.1599,0,0,0,0,
13.1635,0,0,0,0,
13.1671,0,0,0,0,
13.171,0,0,0,0,
13.1747,0,0,0,0,
13.1784,0,0,0,0,
13.182,0,0,0,0,
13.1859,0,0,0,0,
13.1903,0,0,0,0,
13.1939,0,0,0,0,
13.1975,0,0,0,0,
13.2016,0,0,0,0,
13.2054,0,0,0,0,
13.209,0,0,0,0,
13.2128,0,0,0,0,
13.2165,0,0,0,0,
13.2204,0,0,0,0,
13.224,0,0,0,0,
13.2275,0,0,0,0,
13.2315,0,0,0,0,
13.2353,0,0,0,0,
13.2389,0,0,0,0,
13.2424,0,0,0,0,
13.2461,0,0,0,0,
13.2496,0,0,0,0,
13.2536,0,0,0,0,
13.2571,0,0,0,0,
13.2609,0,0,0,0,
13.2644,0,0,0,0,
13.268,0,0,0,0,
13.2715,0,0,0,0,
13.2751,0,0,0,0,
13.2785,0,0,0,0,
13.282,0,0,0,0,
13.286,0,0,0,0,
13.2899,0,0,0,0,
13.2934,0,0,0,0,
13.297,0,0,0,0,
13.3005,0,0,0,0,
13.3043,0,0,0,0,
13.3079,0,0,0,0,
13.3113,0,0,0,0,
13.3148,0,0,0,0,
13.3189,0,0,0,0,
13.3228,0,0,0,0,
13.3262,0,0,0,0,
13.3297,0,0,0,0,
13.3333,0,0,0,0,
13.337,0,0,0,0,
13.3405,0,0,0,0,
13.344,0,0,0,0,
13.3475,0,0,0,0,
13.352,0,0,0.1,0,
13.3563,0,0.0421276,0.1,0,
13.3599,0,0.0646148,0.1,0,
13.3636,0,0.0764552,0.1,0,
13.3673,0,0.0851065,0.1,0,
13.3709,0,0.0905448,0.1,0,
13.3744,0,0.101912,0.1,0,
13.378,0,0.108468,0.1,0,
13.382,0,0.115368,0.1,0,
13.3855,0,0.0844705,0.1,0,
13.3896,0,0.0949707,0.1,0,
13.3931,0,0.117309,0.1,0,
13.397,0,0.105653,0.1,0,
13.4008,0,0.103879,0.1,0,
13.4048,0,0.103595,0.1,0,
13.4084,0,0.100584,0.1,0,
13.4124,0,0.0999952,0.1,0,
13.4159,0,0.0990224,0.1,0,
13.4202,0,0.0989567,0.1,0,
13.4241,0,0.0977245,0.1,0,
13.4281,0,0.101528,0.1,0,
13.4316,0,0.101308,0.1,0,
13.4353,0,0.102001,0.1,0,
13.439,0,0.100682,0.1,0,
13.4429,0,0.0999242,0.1,0,
13.4466,0,0.098432,0.1,0,
13.4503,0,0.101212,0.1,0,
13.4546,0,0.0978157,0.1,0,
13.4588,0,0.10138,0.1,0,
13.4623,0,0.101905,0.1,0,
13.4662,0,0.099686,0.1,0,
13.47,0,0.0977957,0.1,0,
13.4739,0,0.0992914,0.1,0,
13.4776,0,0.0993604,0.1,0,
13.4812,0,0.100553,0.1,0,
13.4854,0,0.0996981,0.1,0,
13.4898,0,0.102109,0.1,0,
13.4934,0,0.100994,0.1,0,
13.4969,0,0.100127,0.1,0,
13.5006,0,0.0990802,0.1,0,
13.5044,0,0.0988325,0.1,0,
13.508,0,0.102554,0.1,0,
13.5118,0,0.100259,0.1,0,
13.5154,0,0.100647,0.1,0,
13.5199,0,0.0999488,0.1,0,
13.5236,0,0.0987512,0.1,0,
13.5273,0,0.099372,0.1,0,
13.5308,0,0.10274,0.1,0,
13.5348,0,0.101552,0.1,0,
13.5385,0,0.099105,0.1,0,
13.5421,0,0.0981952,0.1,0,
13.5458,0,0.0987681,0.1,0,
13.5494,0,0.0994134,0.1,0,
13.5539,0,0.100107,0.1,0,
13.5574,0,0.102801,0.1,0,
13.5609,0,0.100435,0.1,0,
13.5647,0,0.099342,0.1,0,
13.5683,0,0.0988972,0.1,0,
13.5719,0,0.102241,0.1,0,
13.5754,0,0.10132,0.1,0,
13.5789,0,0.100805,0.1,0,
13.5828,0,0.0998715,0.1,0,
13.5872,0,0.0984898,0.1,0,
13.591,0,0.0975739,0.1,0,
13.5948,0,0.0983461,0.1,0,
13.5986,0,0.0998116,0.1,0,
13.6025,0,0.101355,0.1,0,
13.6062,0,0.100001,0.1,0,
13.61,0,0.0990976,0.1,0,
13.6137,0,0.10007,0.1,0,
13.6176,0,0.0986252,0.1,0,
13.6213,0,0.101952,0.1,0,
13.6251,0,0.100977,0.1,0,
13.629,0,0.0998392,0.1,0,
13.6328,0,0.0984331,0.1,0,
13.6366,0,0.0979475,0.1,0,
13.6404,0,0.0983642,0.1,0,
13.6446,0,0.0997351,0.1,0,
13.6482,0,0.10209,0.1,0,
13.6524,0,0.100906,0.1,0,
13.6563,0,0.101086,0.1,0,
13.6599,0,0.0992741,0.1,0,
13.6636,0,0.0980626,0.1,0,
13.6678,0,0.0976645,0.1,0,
13.6716,0,0.100007,0.1,0,
13.6754,0,0.101822,0.1,0,
13.679,0,0.101165,0.1,0,
13.6827,0,0.100207,0.1,0,
13.6868,0,0.098911,0.1,0,
13.6904,0,0.100606,0.1,0,
13.6943,0,0.10078,0.1,0,
13.6978,0,0.10125,0.1,0,
13.7014,0,0.0990245,0.1,0,
13.7051,0,0.0980182,0.1,0,
13.7086,0,0.100192,0.1,0,
13.7121,0,0.102368,0.1,0,
13.7162,0,0.102229,0.1,0,
13.7205,0,0.100601,0.1,0,
13.724,0,0.0983509,0.1,0,
13.7276,0,0.0992553,0.1,0,
13.7311,0,0.101533,0.1,0,
13.7349,0,0.102335,0.1,0,
13.7384,0,0.100038,0.1,0,
13.7419,0,0.0991937,0.1,0,
13.7457,0,0.0981072,0.1,0,
13.7494,0,0.100592,0.1,0,
13.7535,0,0.0994797,0.1,0,
13.7572,0,0.102216,0.1,0,
13.7606,0,0.0998433,0.1,0,
13.764,0,0.0977364,0.1,0,
13.7678,0,0.0997972,0.1,0,
13.7713,0,0.101945,0.1,0,
13.7748,0,0.0997069,0.1,0,
13.7783,0,0.0985254,0.1,0,
13.7822,0,0.0983391,0.1,0,
13.7862,0,0.0999465,0.1,0,
13.7896,0,0.101493,0.1,0,
13.7932,0,0.0987012,0.1,0,
13.7967,0,0.0998719,0.1,0,
13.8004,0,0.09864,0.1,0,
13.8039,0,0.101953,0.1,0,
13.8073,0,0.100751,0.1,0,
13.8109,0,0.0992744,0.1,0,
13.8143,0,0.0988092,0.1,0,
13.8184,0,0.0987172,0.1,0,
13.822,0,0.101816,0.1,0,
13.8258,0,0.100201,0.1,0,
13.8293,0,0.0984984,0.1,0,
13.8329,0,0.0987608,0.1,0,
13.8365,0,0.0986882,0.1,0,
13.8401,0,0.100213,0.1,0,
13.844,0,0.1024,0.1,0,
13.8474,0,0.100207,0.1,0,
13.8516,0,0.0977588,0.1,0,
13.8554,0,0.100355,0.1,0,
13.8591,0,0.0989434,0.1,0,
13.8626,0,0.102425,0.1,0,
13.8661,0,0.0998213,0.1,0,
13.8696,0,0.0978756,0.1,0,
13.8733,0,0.101418,0.1,0,
13.8768,0,0.101151,0.1,0,
13.8802,0,0.100071,0.1,0,
13.8838,0,0.0979411,0.1,0,
13.8881,0,0.0990131,0.1,0,
13.8916,0,0.101612,0.1,0,
13.895,0,0.100404,0.1,0,
13.8985,0,0.0982125,0.1,0,
13.9023,0,0.0983072,0.1,0,
13.9059,0,0.10097,0.1,0,
13.9095,0,0.100689,0.1,0,
13.913,0,0.0985321,0.1,0,
13.9167,0,0.0993082,0.1,0,
13.9208,0,0.097618,0.1,0,
13.9242,0,0.102217,0.1,0,
13.9276,0,0.100657,0.1,0,
13.9312,0,0.0992037,0.1,0,
13.935,0,0.0982602,0.1,0,
13.9386,0,0.0994626,0.1,0,
13.9422,0,0.101309,0.1,0,
13.9458,0,0.101342,0.1,0,
13.9501,0,0.0997164,0.1,0,
13.9543,0,0.0991296,0.1,0,
