time [s], adc1, current1, current1_filtered, filt, voltage,
0.568976,127,0.0100801,0.0100801,0.0102777,0.0205078,
0.570388,129,0.0108417,0.0100801,0.0101359,0.0200195,
0.571742,119,0.0111006,0.0103314,0.010186,0.0197754,
0.573207,123,0.0118922,0.0103314,0.0102945,0.0197754,
0.574556,128,0.011362,0.0103314,0.0103606,0.019043,
0.575902,126,0.0118922,0.0103314,0.0103363,0.0200195,
0.577241,129,0.0118922,0.0103314,0.0103338,0.0195312,
0.578574,128,0.011362,0.0108417,0.0105856,0.0202637,
0.579914,128,0.0124325,0.0111006,0.0108395,0.0195312,
0.581335,129,0.0164951,0.0111006,0.0110614,0.0183105,
0.582707,128,0.017746,0.0116259,0.0111366,0.0192871,
0.584086,128,0.020707,0.0129829,0.0115611,0.0195312,
0.585894,127,0.0200315,0.017746,0.0150732,0.0197754,
0.587508,123,0.0168041,0.017746,0.0175142,0.019043,
0.588879,123,0.020368,0.0174295,0.0176131,0.0192871,
0.590247,128,0.0217391,0.0183865,0.0178834,0.0192871,
0.591603,128,0.020707,0.0200315,0.0189329,0.0195312,
0.593041,127,0.0149879,0.017746,0.0194355,0.0183105,
0.594382,127,0.0141136,0.0152843,0.0175209,0.0197754,
0.595733,127,0.0105853,0.0144025,0.0160407,0.0192871,
0.597092,128,0.0132618,0.0141136,0.0149894,0.0183105,
0.598542,128,0.0132618,0.0144025,0.0144529,0.019043,
0.59988,128,0.0135432,0.0144025,0.014414,0.0192871,
0.60125,124,0.0141136,0.0141136,0.0143049,0.0185547,
0.602687,121,0.0127065,0.0138271,0.0140818,0.0200195,
0.60407,128,0.0144025,0.0138271,0.0138426,0.017334,
0.605426,128,0.0149879,0.0141136,0.0138889,0.0192871,
0.606784,130,0.0144025,0.0144025,0.0141684,0.019043,
0.608201,127,0.0127065,0.0141136,0.0142436,0.0195312,
0.609549,128,0.0168041,0.0138271,0.0139538,0.019043,
0.61088,124,0.0138271,0.0141136,0.0139103,0.0185547,
0.612232,128,0.0146939,0.0144025,0.0141444,0.019043,
0.613587,129,0.0155833,0.0146939,0.0143506,0.0195312,
0.615046,128,0.0152843,0.0144025,0.0144846,0.019043,
0.616408,128,0.0260928,0.0146939,0.0144469,0.0192871,
0.617971,125,0.0231502,0.0155833,0.0149103,0.0195312,
0.619551,128,0.0280132,0.0213926,0.0168584,0.0187988,
0.6212,127,0.0272375,0.0246015,0.0229114,0.0168457,
0.62263,128,0.0257162,0.0246015,0.0241719,0.0175781,
0.624085,123,0.0257162,0.0257162,0.0247001,0.0153809,
0.625487,128,0.0284048,0.0257162,0.0253225,0.0166016,
0.626883,128,0.0272375,0.0264718,0.025953,0.0170898,
0.628234,129,0.0200315,0.0231502,0.0253211,0.0158691,
0.629722,128,0.019037,0.0217391,0.023348,0.0153809,
0.63115,127,0.019366,0.0200315,0.0218642,0.0146484,
0.632588,130,0.020368,0.020368,0.0208844,0.0144043,
0.634475,127,0.0196975,0.020707,0.0207133,0.0153809,
0.636041,121,0.020707,0.0196975,0.0202237,0.0158691,
0.637405,123,0.020368,0.019366,0.019746,0.0178223,
0.638767,129,0.0196975,0.0196975,0.0195627,0.0183105,
0.640204,129,0.0304004,0.020368,0.0197698,0.0183105,
0.641554,127,0.0337235,0.0210485,0.0202606,0.0185547,
0.642904,128,0.0337235,0.0220881,0.0212724,0.0183105,
0.644259,127,0.0341502,0.0220881,0.0219657,0.0192871,
0.645683,128,0.0320419,0.0291955,0.0230279,0.0185547,
0.647041,124,0.0341502,0.030807,0.027235,0.0183105,
0.648424,130,0.0341502,0.0328777,0.0303883,0.0185547,
0.649883,121,0.0341502,0.0328777,0.032719,0.0183105,
0.651431,128,0.0287989,0.0304004,0.032404,0.0180664,
0.652982,128,0.0249705,0.0276241,0.0303585,0.0183105,
0.654421,120,0.0231502,0.0276241,0.0288012,0.0185547,
0.655782,127,0.0238708,0.0276241,0.0278204,0.0178223,
0.657211,127,0.0238708,0.0238708,0.025639,0.0185547,
0.658573,128,0.0246015,0.0238708,0.0244257,0.0187988,
0.659924,129,0.0238708,0.0235093,0.0239403,0.0183105,
0.661324,128,0.0242349,0.0238708,0.0238429,0.0166016,
0.662709,128,0.0242349,0.0238708,0.0238611,0.0183105,
0.664068,129,0.0257162,0.0238708,0.0238694,0.0180664,
0.66548,129,0.0238708,0.0238708,0.0238705,0.019043,
0.666917,128,0.0249705,0.0238708,0.0238707,0.0185547,
0.668327,127,0.0227937,0.0242349,0.0240199,0.0175781,
0.669731,127,0.0257162,0.0246015,0.0243392,0.0180664,
0.671097,130,0.0257162,0.0246015,0.0245415,0.019043,
0.672489,123,0.0280132,0.0242349,0.0243965,0.0178223,
0.673876,128,0.0280132,0.0249705,0.0244992,0.0175781,
0.675233,130,0.0264718,0.0253421,0.0248768,0.0180664,
0.676594,127,0.0200315,0.0253421,0.0252107,0.0183105,
0.678038,128,0.0253421,0.0249705,0.0250689,0.0185547,
0.679386,127,0.0246015,0.0246015,0.0249717,0.0183105,
0.680786,126,0.0242349,0.0249705,0.0249375,0.0183105,
0.682205,119,0.0264718,0.0253421,0.0250597,0.0185547,
0.683542,129,0.0264718,0.0253421,0.0254228,0.017334,
0.685228,125,0.0260928,0.0249705,0.0250591,0.0161133,
0.686949,128,0.0272375,0.0257162,0.0251094,0.0168457,
0.688378,128,0.0257162,0.0257162,0.0254811,0.0185547,
0.689724,128,0.0227937,0.0260928,0.0258569,0.0192871,
0.691154,129,0.0280132,0.0260928,0.0260442,0.0180664,
0.692549,127,0.0272375,0.0257162,0.0259738,0.0180664,
0.693901,128,0.0231502,0.0257162,0.0258394,0.0187988,
0.695235,128,0.0268534,0.0260928,0.0259181,0.0180664,
0.696633,128,0.0253421,0.0260928,0.0261595,0.017334,
0.698076,129,0.0276241,0.0257162,0.0258953,0.0185547,
0.699426,128,0.0264718,0.0257162,0.025753,0.0180664,
0.700792,127,0.0268534,0.0260928,0.0258847,0.0185547,
0.702251,122,0.0280132,0.0268534,0.0261978,0.0166016,
0.703645,128,0.0284048,0.0268534,0.0267097,0.0180664,
0.705091,127,0.0276241,0.0260928,0.0264179,0.0178223,
0.706441,128,0.0246015,0.0257162,0.0260785,0.0163574,
0.707878,128,0.0231502,0.0260928,0.0260263,0.0178223,
0.709229,128,0.0291955,0.0264718,0.026139,0.017334,
0.710567,129,0.0390088,0.0268534,0.0265237,0.0166016,
0.71202,127,0.0385545,0.0268534,0.0268039,0.0175781,
0.713382,123,0.0427326,0.0272375,0.0268746,0.0158691,
0.714732,130,0.0427326,0.0376536,0.0292078,0.0180664,
0.716069,129,0.0408506,0.0413174,0.0355539,0.0168457,
0.717601,127,0.0441703,0.0427326,0.0415608,0.017334,
0.719437,128,0.0408506,0.0408506,0.0411143,0.0178223,
