time [s],current,servo1.currentSetpoint,setpwm,
3.36659,0.853352,0,400,
3.36955,0.853355,0,400,
3.3726,0.852758,0,400,
3.37584,0.853334,0,400,
3.37888,0.852698,0,400,
3.38206,0.852707,0,400,
3.38478,0.85244,0,400,
3.38758,0.853538,0,400,
3.39076,0.852809,0,400,
3.39374,0.852738,0,400,
3.3965,0.85246,0,400,
3.39939,0.852348,0,400,
3.40336,0.852893,0,400,
3.40668,0.851207,0,400,
3.40962,0.851646,0,400,
3.41232,0.850941,0,400,
3.41567,0.851055,0,400,
3.41868,0.850632,0,400,
3.4214,0.848848,0,400,
3.42439,0.848603,0,400,
3.42741,0.848196,0,400,
3.43103,0.847982,0,400,
3.4343,0.848598,0,400,
3.43723,0.847771,0,400,
3.44005,0.848228,0,400,
3.44347,0.847491,0,400,
3.44703,0.847195,0,400,
3.45005,0.84735,0,400,
3.4529,0.847348,0,400,
3.45624,0.847176,0,400,
3.45981,0.846828,0,400,
3.46287,0.847581,0,400,
3.46556,0.846561,0,400,
3.4687,0.846407,0,400,
3.47157,0.84528,0,400,
3.47475,0.844386,0,400,
3.47762,0.844819,0,400,
3.48057,0.843994,0,400,
3.48371,0.843971,0,400,
3.48656,0.842591,0,400,
3.48957,0.842658,0,400,
3.49263,0.842138,0,400,
3.49578,0.842643,0,400,
3.4986,0.841734,0,400,
3.50158,0.842229,0,400,
3.50456,0.841507,0,400,
3.5076,0.841598,0,400,
3.51066,0.840783,0,400,
3.51389,0.840959,0,400,
3.51673,0.83976,0,400,
3.51941,0.839423,0,400,
3.52257,0.839736,0,400,
3.52559,0.839802,0,400,
3.52836,0.840052,0,400,
3.53107,0.840474,0,400,
3.53412,0.839981,0,400,
3.53746,0.84001,0,400,
3.54071,0.840298,0,400,
3.54375,0.840041,0,400,
3.54645,0.839824,0,400,
3.54926,0.84031,0,400,
3.55237,0.839818,0,400,
3.55522,0.840642,0,400,
3.55861,0.840204,0,400,
3.56171,0.840247,0,400,
3.56493,0.839265,0,400,
3.568,0.839067,0,400,
3.57088,0.838152,0,400,
3.57369,0.838443,0,400,
3.57715,0.839327,0,400,
3.58006,0.838758,0,400,
